N values,Option Valuation,Black Scholes
162,11.551454520028724,11.544280227051097
163,11.545457735288624,11.544280227051097
164,11.551430813938383,11.544280227051097
165,11.545331817877015,11.544280227051097
166,11.551406620690996,11.544280227051097
167,11.54520891811145,11.544280227051097
168,11.551381976537245,11.544280227051097
169,11.545088928796803,11.544280227051097
170,11.551356915470125,11.544280227051097
171,11.54497174775746,11.544280227051097
172,11.551331469366179,11.544280227051097
173,11.544857277546825,11.544280227051097
174,11.551305668157157,11.544280227051097
175,11.544745425172122,11.544280227051097
176,11.55127953993134,11.544280227051097
177,11.544636101848717,11.544280227051097
178,11.551253111068332,11.544280227051097
179,11.544529222760868,11.544280227051097
180,11.551226406349251,11.544280227051097
181,11.54442470684482,11.544280227051097
182,11.55119944906612,11.544280227051097
183,11.544322476578456,11.544280227051097
184,11.55117226110799,11.544280227051097
185,11.544222457799712,11.544280227051097
186,11.55114486306347,11.544280227051097
187,11.544124579511744,11.544280227051097
188,11.55111727428764,11.544280227051097
189,11.544028773736683,11.544280227051097
190,11.55108951299572,11.544280227051097
191,11.543934975331968,11.544280227051097
192,11.551061596324292,11.544280227051097
193,11.54384312186577,11.544280227051097
194,11.55103354040135,11.544280227051097
195,11.543753153463188,11.544280227051097
196,11.551005360408094,11.544280227051097
197,11.543665012688816,11.544280227051097
198,11.550977070637394,11.544280227051097
199,11.543578644412674,11.544280227051097
200,11.550948684549166,11.544280227051097
201,11.543493995696538,11.544280227051097
202,11.550920214818117,11.544280227051097
203,11.543411015693867,11.544280227051097
204,11.550891673382568,11.544280227051097
205,11.543329655546414,11.544280227051097
206,11.55086307148827,11.544280227051097
207,11.543249868275362,11.544280227051097
208,11.550834419726442,11.544280227051097
209,11.54317160871353,11.544280227051097
210,11.55080572807324,11.544280227051097
211,11.543094833394019,11.544280227051097
212,11.550777005934016,11.544280227051097
213,11.543019500490873,11.544280227051097
214,11.550748262167435,11.544280227051097
215,11.542945569736046,11.544280227051097
216,11.550719505113193,11.544280227051097
217,11.5428730023392,11.544280227051097
218,11.550690742628387,11.544280227051097
219,11.542801760936442,11.544280227051097
220,11.550661982126103,11.544280227051097
221,11.542731809510684,11.544280227051097
222,11.550633230577287,11.544280227051097
223,11.542663113343863,11.544280227051097
224,11.550604494547335,11.544280227051097
225,11.542595638941998,11.544280227051097
226,11.550575780227378,11.544280227051097
227,11.542529354004754,11.544280227051097
